f.25.1.1,1
c.37.1.8,20
c.37.1.0,35
b.44.1.0,2
b.43.3.0,1
d.109.1.2,3
a.102.4.4,4
b.1.29.1,4
b.1.29.8,4
a.40.1.0,21
c.62.1.1,3
b.60.1.2,2
b.60.1.0,2
b.1.1.0,30
f.21.1.2,1
c.37.1.9,17
f.17.2.1,1
c.55.1.1,13
c.55.1.0,10
b.1.18.10,3
b.40.3.0,4
b.40.3.1,4
b.1.1.2,4
d.93.1.1,14
b.88.1.2,1
d.109.1.1,2
g.68.1.0,3
a.14.1.1,4
a.14.1.0,4
c.21.1.1,2
a.24.23.1,3
d.110.3.0,2
d.19.1.1,5
d.19.1.0,5
c.37.1.19,16
g.41.8.1,1
c.14.1.1,1
d.41.4.1,1
a.7.1.1,1
a.39.1.7,3
c.61.1.0,4
c.61.1.2,4
g.28.1.0,6
c.2.1.1,3
d.142.1.2,2
d.144.1.0,42
d.144.1.7,39
g.28.1.1,6
a.91.1.0,2
a.91.1.1,3
c.62.1.0,5
b.39.1.1,1
b.29.1.16,3
g.75.1.1,3
a.25.1.0,2
a.25.1.1,2
a.40.1.1,11
c.45.1.0,12
c.45.1.1,5
a.65.1.1,5
b.22.1.0,5
b.22.1.1,3
b.40.4.5,4
b.40.4.0,4
d.122.1.1,3
d.122.1.0,3
b.130.1.1,5
a.47.4.1,3
d.230.3.0,3
g.8.1.1,7
g.8.1.0,7
g.27.1.2,6
b.29.1.12,2
b.104.1.1,2
a.140.2.1,4
b.29.1.0,7
g.37.1.1,20
g.37.1.0,21
d.148.1.0,4
d.148.1.1,6
a.5.2.1,3
a.144.1.1,2
a.144.1.0,2
d.58.7.0,5
d.12.1.2,1
d.47.1.1,1
c.45.1.2,8
g.7.1.3,1
g.44.1.1,5
g.44.1.0,2
b.1.16.1,1
b.1.16.0,1
g.39.1.1,2
d.42.1.0,6
d.332.1.1,2
a.116.1.1,7
d.93.1.0,4
a.118.1.24,2
a.38.1.1,3
c.1.9.6,2
b.92.1.3,2
c.108.1.7,4
a.39.1.5,7
a.39.1.0,7
a.118.1.3,1
b.55.1.5,3
a.11.2.0,5
b.55.1.0,11
d.15.1.0,12
a.118.7.1,5
b.55.1.1,11
d.58.7.1,9
g.39.1.3,4
g.39.1.0,6
c.55.3.14,1
