Length of protein,1043.182746966116,1504.0547581061076
Negative region lengths,560.3864641557714,932.3450265187819
Positive region lengths,184.55041847435135,262.2489283930293
Total length of anchor regions,248.8662683064573,626.735905187808
Total length of coil regions,11.327752802606037,50.67488677337292
Total length of conserved regions,2.0763382331345364,2.5571518324024636
Total length of disordered regions,342.0289159350372,737.5994821648057
Total length of globular regions,617.2822870666513,1065.0506827601423
Total length of helix regions,66.87590877157179,149.03450106254837
Total length of loop regions,159.5952419933841,483.4330903442871
Total length of nonconserved regions,4.914455661823995,3.439768677488756
Total length of sheet regions,52.18117188286495,135.46929396519272
Total length tmh regions,14.03181574887656,48.804066041187774
