f.25.1,1
c.37.1,97
b.44.1,3
b.43.3,2
d.109.1,5
a.102.4,4
b.1.29,13
a.40.1,32
c.62.1,8
b.60.1,5
b.1.1,38
f.21.1,1
f.17.2,1
c.55.1,23
b.1.18,9
b.40.3,10
d.93.1,18
b.88.1,1
g.68.1,5
a.14.1,8
c.21.1,2
a.24.23,3
d.110.3,2
d.19.1,10
g.41.8,4
c.14.1,5
d.41.4,1
a.7.1,1
a.39.1,29
c.61.1,8
g.28.1,12
c.2.1,8
d.142.1,2
d.144.1,81
a.91.1,5
b.39.1,1
b.29.1,15
g.75.1,3
a.25.1,4
c.45.1,25
a.65.1,5
b.22.1,8
b.40.4,8
d.122.1,8
b.130.1,5
a.47.4,3
d.230.3,3
g.8.1,14
g.27.1,6
b.104.1,2
a.140.2,4
g.37.1,41
d.148.1,10
a.5.2,3
a.144.1,4
d.58.7,15
d.12.1,1
d.47.1,1
g.7.1,2
g.44.1,10
b.1.16,2
g.39.1,17
d.42.1,7
d.332.1,2
a.116.1,11
a.118.1,11
a.38.1,3
c.1.9,2
b.92.1,2
c.108.1,4
b.55.1,29
a.11.2,5
d.15.1,19
a.118.7,5
c.55.3,1
g.50.1,17
b.34.5,2
d.20.1,6
g.52.1,1
d.51.1,7
a.123.1,6
d.211.2,2
d.171.1,5
b.1.2,4
a.24.9,2
g.65.1,3
d.92.1,8
g.66.1,4
b.42.6,6
a.118.22,3
d.10.1,2
g.95.1,4
g.23.1,3
d.169.1,8
a.29.2,6
a.135.1,1
d.64.1,1
g.41.17,1
b.64.1,1
g.14.1,5
c.47.1,13
b.18.1,9
d.211.1,16
a.2.16,1
b.62.1,6
b.82.3,5
d.159.1,1
d.76.2,2
d.58.18,1
c.56.5,5
d.3.1,10
d.111.1,4
a.289.1,1
b.2.5,5
a.90.1,9
a.47.1,2
b.26.1,6
b.85.7,4
c.1.11,2
d.54.1,1
d.44.1,2
a.2.11,2
c.10.2,19
a.100.1,2
b.7.1,11
g.49.1,12
g.16.2,3
d.141.1,1
g.3.9,8
a.37.1,1
a.118.19,1
a.194.1,2
b.82.2,2
b.36.1,4
a.228.1,1
a.4.3,6
b.131.1,1
b.34.13,6
b.1.6,1
d.189.1,2
c.66.1,2
b.11.1,2
c.13.1,1
a.5.3,2
e.17.1,1
a.75.1,1
e.78.1,1
d.108.1,2
a.28.3,3
d.162.1,2
d.209.1,2
a.4.1,11
d.130.1,1
a.24.14,2
a.153.1,5
b.34.2,4
d.164.1,2
b.34.10,4
c.1.12,1
b.58.1,1
g.45.1,4
a.118.8,1
g.80.1,1
c.68.1,1
c.67.1,1
b.23.1,3
d.58.12,1
d.218.1,1
e.1.1,5
a.221.1,1
a.4.5,18
a.29.10,1
b.1.5,2
a.8.4,2
a.217.1,2
a.87.1,2
f.42.1,2
d.126.1,1
a.74.1,3
d.50.1,6
a.40.3,2
c.1.6,1
b.49.2,1
f.41.1,1
a.137.3,3
d.14.1,1
a.42.1,2
g.41.11,3
b.68.5,6
a.23.4,1
c.8.5,4
b.1.15,2
c.86.1,2
c.82.1,8
a.6.1,1
d.170.1,3
f.56.1,1
b.47.1,7
a.102.2,2
a.1.1,2
d.15.2,4
g.76.1,1
d.26.1,7
c.72.1,1
d.17.1,1
c.1.7,6
g.32.1,1
a.211.1,1
c.1.8,2
a.189.1,1
g.46.1,3
b.17.1,1
b.61.5,1
b.42.7,1
c.80.1,1
b.118.1,1
a.118.27,2
a.77.1,2
a.11.1,1
b.1.8,2
c.69.1,4
b.69.4,1
c.1.5,2
d.110.4,1
a.118.3,7
d.76.1,2
c.1.1,2
d.2.1,2
b.50.1,2
g.1.1,1
c.1.10,1
d.18.1,1
b.95.1,1
a.2.3,11
b.12.1,2
a.126.1,1
a.277.1,1
g.85.1,1
a.45.1,2
a.21.1,6
c.23.4,1
b.38.1,1
a.187.1,1
d.105.1,1
d.58.41,1
b.34.14,1
b.34.9,2
d.9.1,1
c.46.1,1
b.1.11,1
a.60.1,4
b.1.10,2
a.20.1,2
a.35.1,1
d.49.1,2
a.159.4,1
b.68.11,2
d.41.1,2
a.56.1,2
d.15.4,2
c.23.2,4
d.120.1,1
g.9.1,1
e.23.1,1
c.65.1,1
b.46.1,1
d.13.1,2
c.23.16,2
d.91.1,2
d.79.3,1
c.55.4,2
f.23.28,1
b.23.4,1
a.50.1,1
f.49.1,1
d.143.1,1
g.3.14,2
a.24.1,1
c.89.1,1
d.58.3,2
b.66.1,2
b.4.1,1
g.54.1,1
d.39.1,1
d.110.7,1
a.7.8,1
a.188.1,1
d.215.1,1
c.95.1,1
a.104.1,1
d.129.6,1
