Length of protein,565.9337765957436,535.7500686823886
Negative region lengths,380.25489361702034,387.10693767931457
Positive region lengths,152.3032978723415,126.88685456525614
Total length of anchor regions,98.57808510638354,217.8004299972144
Total length of coil regions,9.311861702127716,25.889419668841253
Total length of conserved regions,2.258670212766093,2.528529624396983
Total length of disordered regions,145.57659574468167,268.31291351447067
Total length of globular regions,372.7221808510629,412.856522779557
Total length of helix regions,79.89005319149015,108.35955508240492
Total length of loop regions,100.85074468084824,132.63229308753665
Total length of nonconserved regions,6.079840425531146,2.9137527852727874
Total length of sheet regions,34.96138297872346,63.044676814804234
Total length tmh regions,1.2488297872340453,14.330379822762712
